# Temperature_C,Pressure_bar,-1_over_T_K,ln_p_bar
100.1,2,-0.00267887,0.69314718
117.2,3,-0.00256189,1.09861229
132.3,4,-0.00246691,1.38629436
141.7,5,-0.00240915,1.60943791
150.6,6,-0.00235808,1.79175947
158.2,7,-0.00231922,1.94591015
164.1,8,-0.00228618,2.07944154
169.8,9,-0.00225621,2.19722458
174.0,10,-0.00223661,2.30258509
179.0,11,-0.00221157,2.39789527
182.5,12,-0.00219448,2.48490665
187.6,13,-0.00217006,2.56494936
191.0,14,-0.00215419,2.63905733
194.2,15,-0.00214062,2.70805020
196.9,16,-0.00212910,2.77258872
200.2,17,-0.00211586,2.83321334
203.5,18,-0.00210285,2.89037176
206.0,19,-0.00209291,2.94443898
209.0,20,-0.00208133,2.99573227
211.8,21,-0.00207053,3.04452244
214.0,22,-0.00206132,3.09104245
216.7,23,-0.00205056,3.13549422
219.1,24,-0.00204100,3.17805383
221.9,25,-0.00203008,3.21887582
223.9,26,-0.00202230,3.25809654
225.9,27,-0.00201458,3.29583687
228.0,28,-0.00200690,3.33220451
230.0,29,-0.00199950,3.36729583
232.0,30,-0.00199218,3.40119738
234.1,31,-0.00198461,3.43398720
236.0,32,-0.00197729,3.46573590
237.9,33,-0.00197004,3.49650756
239.3,34,-0.00196463,3.52636052
241.2,35,-0.00195755,3.55534806
243.0,36,-0.00195068,3.58351894
244.3,37,-0.00194577,3.61091791
246.2,38,-0.00193881,3.63758616
247.8,39,-0.00193355,3.66356165
249.9,40,-0.00192670,3.68887945
