# speed_m_s, distance_m, time
38973.812221,151251106246.477844,1977-08-21T00:00:00
29463.611806,238604072814.777954,1977-11-29T00:00:00
21509.934841,375509226216.405212,1978-03-09T00:00:00
17166.967154,492732184651.955627,1978-06-17T00:00:00
14339.247661,590688328046.011353,1978-09-25T00:00:00
12291.166239,672787138582.936890,1979-01-03T00:00:00
10712.904277,741800960314.566040,1979-04-13T00:00:00
20688.317413,805904932746.456421,1979-07-22T00:00:00
19059.461338,862772845034.279419,1979-10-30T00:00:00
18374.572143,931360367540.306152,1980-02-07T00:00:00
17736.780950,1009390916926.010620,1980-05-17T00:00:00
17139.796845,1094197374135.499023,1980-08-25T00:00:00
16590.833328,1183728764506.214844,1980-12-03T00:00:00
16093.469768,1276496620384.894531,1981-03-13T00:00:00
15662.795607,1371514847550.078369,1981-06-21T00:00:00
20360.381816,1439296021918.072998,1981-09-29T00:00:00
20237.374183,1457668218386.891846,1982-01-07T00:00:00
20121.664910,1491768736856.058350,1982-04-17T00:00:00
19975.402200,1540438403281.296387,1982-07-26T00:00:00
19804.602350,1602217379403.019531,1982-11-03T00:00:00
19617.679778,1675505264163.708984,1983-02-11T00:00:00
19423.188759,1758709260820.456299,1983-05-22T00:00:00
19227.024918,1850336922384.248047,1983-08-30T00:00:00
19034.832899,1949057335351.729736,1983-12-08T00:00:00
18849.361430,2053714510390.146484,1984-03-17T00:00:00
18672.462413,2163323329672.326660,1984-06-25T00:00:00
18505.289666,2277060365108.786133,1984-10-03T00:00:00
18349.604066,2394246577097.096680,1985-01-11T00:00:00
18202.980391,2514315743594.512695,1985-04-21T00:00:00
18065.849648,2636792466236.607910,1985-07-30T00:00:00
17939.803089,2761297090540.619141,1985-11-07T00:00:00
19714.328056,2883487228956.586914,1986-02-15T00:00:00
19615.311931,2993059552376.079590,1986-05-26T00:00:00
19529.192257,3106918752898.965332,1986-09-03T00:00:00
19447.036467,3224589484365.441406,1986-12-12T00:00:00
19377.880667,3345646559174.488281,1987-03-22T00:00:00
19303.029198,3469762746653.065918,1987-06-30T00:00:00
19232.102138,3596537750318.382324,1987-10-08T00:00:00
19164.719934,3725674575757.447266,1988-01-16T00:00:00
19101.333462,3856914915560.678711,1988-04-25T00:00:00
19041.015349,3990029150078.610352,1988-08-03T00:00:00
18984.299747,4124816932014.713379,1988-11-11T00:00:00
18931.047738,4261106192420.403320,1989-02-19T00:00:00
18881.937618,4398745454988.314453,1989-05-30T00:00:00
16728.471736,4532622553478.784180,1989-09-07T00:00:00
16673.454484,4632016853615.625000,1989-12-16T00:00:00
16636.804226,4733247310486.048828,1990-03-26T00:00:00
